Airline,Source,Destination,Route,Arrival_Time,Additional_Info,Price,Date_of_Journey_day,Date_of_Journey_month,Date_of_Journey_weekday,Date_of_Journey_hour,Date_of_Journey_minute,Dep_Time_minutes,Duration_minutes
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,12:35 13 Jun,In-flight meal not included,10262,12,6,2,0,0,1370.0,825
Jet Airways,Mumbai,Hyderabad,BOM ? HYD,08:35,No info,17501,1,3,4,0,0,430.0,85
Air India,Banglore,Delhi,BLR ? DEL,08:55,No info,8273,24,5,4,0,0,370.0,165
Air India,Delhi,Cochin,DEL ? LKO ? BOM ? COK,19:15 22 Mar,No info,10703,21,3,3,0,0,1110.0,1485
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,01:30 16 Jun,No info,8510,15,6,5,0,0,600.0,930
IndiGo,Mumbai,Hyderabad,BOM ? HYD,21:35,No info,2754,15,3,4,0,0,1205.0,90
IndiGo,Mumbai,Hyderabad,BOM ? HYD,22:50,No info,2227,18,5,5,0,0,1280.0,90
Multiple carriers,Delhi,Cochin,DEL ? IXU ? BOM ? COK,01:30 28 Jun,No info,18275,27,6,3,0,0,1070.0,460
SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,13:15,No check-in baggage included,6356,21,4,6,0,0,525.0,270
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:45,No info,14781,15,5,2,0,0,845.0,400
Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:35 28 May,In-flight meal not included,13029,27,5,0,0,0,580.0,1615
GoAir,Banglore,Delhi,BLR ? DEL,14:30,No info,4340,1,5,2,0,0,700.0,170
Air India,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,13:45 13 Jun,No info,12224,12,6,2,0,0,1050.0,1215
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:15 25 May,In-flight meal not included,10844,24,5,4,0,0,990.0,1545
IndiGo,Kolkata,Banglore,CCU ? BLR,12:20,No info,4174,15,4,0,0,0,575.0,165
Air India,Banglore,New Delhi,BLR ? HYD ? VGA ? DEL,22:55 02 Mar,No info,14887,1,3,4,0,0,1020.0,1795
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:15,No info,12853,9,4,1,0,0,540.0,615
Air Asia,Banglore,Delhi,BLR ? DEL,13:55,No info,3383,15,5,2,0,0,670.0,165
GoAir,Banglore,New Delhi,BLR ? DEL,14:35,No info,11111,1,3,4,0,0,700.0,175
Jet Airways,Banglore,Delhi,BLR ? DEL,20:45,No info,7229,1,4,0,0,0,1065.0,180
Jet Airways,Banglore,Delhi,BLR ? DEL,20:45,In-flight meal not included,4030,6,5,0,0,0,1065.0,180
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,01:35 04 Mar,No info,14871,3,3,6,0,0,900.0,635
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,04:25 28 May,In-flight meal not included,12898,27,5,0,0,0,1185.0,520
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:15,No info,14533,18,5,5,0,0,690.0,465
Air India,Delhi,Cochin,DEL ? BLR ? COK,08:15 07 Jun,No info,7258,6,6,3,0,0,1060.0,875
SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,13:15,No info,4812,1,4,0,0,0,525.0,270
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,21:05,In-flight meal not included,12384,9,5,3,0,0,575.0,690
Air India,Delhi,Cochin,DEL ? JAI ? BOM ? COK,07:40 07 Jun,No info,8603,6,6,3,0,0,720.0,1180
Air India,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:15,No info,8603,6,6,3,0,0,720.0,435
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,23:25,No info,14231,24,3,6,0,0,835.0,570
Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,04:25 11 May,No info,15129,9,5,3,0,0,1385.0,1760
Air Asia,Delhi,Cochin,DEL ? BLR ? COK,07:10 02 Jun,No info,11410,1,6,5,0,0,1245.0,625
Air India,Banglore,New Delhi,BLR ? BOM ? BHO ? DEL,09:25 13 Mar,No info,12725,12,3,1,0,0,530.0,1475
Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,12:35 10 Jun,No info,13292,9,6,6,0,0,575.0,1620
SpiceJet,Kolkata,Banglore,CCU ? BLR,09:30,No info,3873,24,4,2,0,0,415.0,155
IndiGo,Chennai,Kolkata,MAA ? CCU,10:15,No info,3850,15,6,5,0,0,475.0,140
SpiceJet,Kolkata,Banglore,CCU ? KNU ? BLR,18:50,No info,8479,9,6,6,0,0,695.0,435
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,23:35,No info,14151,24,5,4,0,0,575.0,840
Air India,Banglore,Delhi,BLR ? DEL,08:55,No info,5228,24,4,2,0,0,370.0,165
Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,09:05 10 Jun,No info,9397,9,6,6,0,0,430.0,1555
Jet Airways,Mumbai,Hyderabad,BOM ? HYD,08:30,In-flight meal not included,4995,18,6,1,0,0,425.0,85
Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:15 02 Jun,No info,10651,1,6,5,0,0,1185.0,1410
Air Asia,Banglore,Delhi,BLR ? DEL,07:45,No info,4282,3,4,2,0,0,295.0,170
Air India,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,21:50,No info,10697,21,5,1,0,0,500.0,810
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,14:25 22 May,In-flight meal not included,9314,21,5,1,0,0,575.0,1730
IndiGo,Chennai,Kolkata,MAA ? CCU,07:40,No info,3540,27,6,3,0,0,315.0,145
Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:15 13 Jun,No info,9443,12,6,2,0,0,1000.0,1595
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,15:30,No info,15147,6,3,2,0,0,450.0,480
Jet Airways,Banglore,Delhi,BLR ? DEL,11:20,No info,8016,27,6,3,0,0,500.0,180
IndiGo,Mumbai,Hyderabad,BOM ? HYD,22:50,No info,2437,24,5,4,0,0,1280.0,90
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,01:30 28 May,No info,6104,27,5,0,0,0,635.0,895
SpiceJet,Mumbai,Hyderabad,BOM ? HYD,00:15 07 Jun,No check-in baggage included,1965,6,6,3,0,0,1365.0,90
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,7408,12,6,2,0,0,780.0,480
IndiGo,Mumbai,Hyderabad,BOM ? HYD,07:55,No info,4049,18,6,1,0,0,385.0,90
Jet Airways,Banglore,Delhi,BLR ? DEL,22:50,No info,8016,1,6,5,0,0,1190.0,180
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,No info,10197,9,5,3,0,0,420.0,720
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:15 02 May,In-flight meal not included,10844,1,5,2,0,0,1270.0,665
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,19:10 10 Jun,No info,12692,9,6,6,0,0,1020.0,1570
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:20,No info,14781,6,5,0,0,0,505.0,475
GoAir,Kolkata,Banglore,CCU ? BOM ? BLR,07:45 25 May,No info,7335,24,5,4,0,0,1410.0,495
Jet Airways,Banglore,Delhi,BLR ? DEL,11:20,No info,7229,27,5,0,0,0,500.0,180
Vistara,Banglore,New Delhi,BLR ? DEL,00:05 28 Mar,No info,4353,24,3,6,0,0,1270.0,175
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:15 19 May,No info,13941,18,5,5,0,0,1200.0,735
Jet Airways,Banglore,New Delhi,BLR ? MAA ? DEL,14:25,No info,12295,12,3,1,0,0,585.0,280
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,12:35 28 May,In-flight meal not included,12898,27,5,0,0,0,1370.0,825
Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,22:40,No info,7927,9,5,3,0,0,430.0,930
Air Asia,Banglore,Delhi,BLR ? DEL,02:45 16 Apr,No info,4483,15,4,0,0,0,1435.0,170
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,18:25,No info,19225,6,3,2,0,0,700.0,405
GoAir,Delhi,Cochin,DEL ? AMD ? COK,13:35,No info,4692,24,4,2,0,0,445.0,370
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,09:30 16 Mar,No info,13555,18,3,0,0,0,1285.0,725
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,01:30 10 Apr,No info,6270,9,4,1,0,0,900.0,630
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:20 07 May,No info,13584,6,5,0,0,0,1135.0,1285
Jet Airways,Delhi,Cochin,DEL ? MAA ? BOM ? COK,18:50 22 Mar,No info,13180,21,3,3,0,0,970.0,1600
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,18:00 13 May,No info,14151,12,5,6,0,0,1225.0,1295
Vistara,Delhi,Cochin,DEL ? COK,09:10,No info,6216,12,5,6,0,0,360.0,190
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,18:50,No info,15135,3,3,6,0,0,450.0,680
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,In-flight meal not included,15136,6,3,2,0,0,690.0,570
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:00,In-flight meal not included,10262,27,6,3,0,0,135.0,1005
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,22:05,In-flight meal not included,12384,18,5,5,0,0,575.0,750
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,19:10,In-flight meal not included,9314,1,4,0,0,0,575.0,575
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,18:00 07 May,In-flight meal not included,9314,6,5,0,0,0,1020.0,1500
Air India,Delhi,Cochin,DEL ? BOM ? COK,19:15,No info,10454,1,6,5,0,0,540.0,615
Air India,Delhi,Cochin,DEL ? BOM ? COK,07:40 19 May,No info,8372,18,5,5,0,0,1380.0,520
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,04:25 10 Mar,In-flight meal not included,11848,9,3,5,0,0,1185.0,520
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,6416,1,6,5,0,0,510.0,750
IndiGo,Mumbai,Hyderabad,BOM ? HYD,10:40,No info,3342,1,4,0,0,0,550.0,90
Jet Airways,Kolkata,Banglore,CCU ? BOM ? PNQ ? BLR,07:25 07 Jun,In-flight meal not included,10118,6,6,3,0,0,390.0,1495
Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,12:30 13 Jun,No info,14960,12,6,2,0,0,1005.0,1185
IndiGo,Delhi,Cochin,DEL ? HYD ? COK,16:10,No info,6818,15,6,5,0,0,305.0,665
Air India,Kolkata,Banglore,CCU ? BLR,16:45,No info,5510,12,6,2,0,0,855.0,150
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,09:20 22 May,No info,14388,21,5,1,0,0,390.0,1610
Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,22:30,No info,7038,3,6,0,0,0,895.0,455
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:15,No info,8266,9,5,3,0,0,525.0,630
Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,19:00 28 Jun,No info,14300,27,6,3,0,0,1100.0,1480
Air India,Kolkata,Banglore,CCU ? BOM ? BLR,07:55 10 May,No info,8366,9,5,3,0,0,565.0,1350
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,10:25 07 Mar,No info,17261,6,3,2,0,0,1370.0,695
Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,09:05 07 Jun,No info,8452,6,6,3,0,0,430.0,1555
IndiGo,Kolkata,Banglore,CCU ? GAU ? BLR,20:30,No info,8567,1,4,0,0,0,910.0,320
Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,22:30,No info,9646,15,6,5,0,0,425.0,925
Air India,Delhi,Cochin,DEL ? GOI ? BOM ? COK,19:15 10 Apr,No info,8341,9,4,1,0,0,1320.0,1275
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:00 10 May,In-flight meal not included,12373,9,5,3,0,0,1050.0,1530
SpiceJet,Chennai,Kolkata,MAA ? CCU,20:05,No check-in baggage included,3543,21,6,4,0,0,1065.0,140
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,23:35,In-flight meal not included,13994,9,6,6,0,0,1020.0,395
IndiGo,Banglore,New Delhi,BLR ? DEL,06:50,No info,4777,24,3,6,0,0,240.0,170
Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,22:30,No info,7038,1,6,5,0,0,895.0,455
IndiGo,Mumbai,Hyderabad,BOM ? HYD,18:25,No info,3175,3,4,2,0,0,1015.0,90
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,7408,9,6,6,0,0,600.0,660
IndiGo,Banglore,Delhi,BLR ? DEL,00:15 16 Jun,No info,3943,15,6,5,0,0,1275.0,180
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,04:25 07 Mar,No info,15974,6,3,2,0,0,480.0,1225
SpiceJet,Kolkata,Banglore,CCU ? BLR,09:30,No info,3873,27,5,0,0,0,415.0,155
IndiGo,Banglore,Delhi,BLR ? DEL,13:00,No info,4423,15,4,0,0,0,610.0,170
Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,04:25 28 May,No info,15129,27,5,0,0,0,580.0,1125
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,8285,21,3,3,0,0,505.0,755
Air India,Mumbai,Hyderabad,BOM ? HYD,07:40,No info,3100,6,6,3,0,0,380.0,80
Air India,Banglore,New Delhi,BLR ? BOM ? BHO ? DEL,09:25 02 Mar,No info,25430,1,3,4,0,0,530.0,1475
SpiceJet,Mumbai,Hyderabad,BOM ? HYD,14:30,No check-in baggage included,2385,18,3,0,0,0,790.0,80
Jet Airways,Kolkata,Banglore,CCU ? GAU ? BLR,17:35,No info,11316,6,6,3,0,0,620.0,435
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:00,In-flight meal not included,10262,15,6,5,0,0,135.0,1005
Air India,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,13:15,No info,7662,24,5,4,0,0,350.0,445
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,19:40 25 Mar,No info,14231,24,3,6,0,0,1015.0,1605
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,6838,9,6,6,0,0,555.0,705
Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,04:25 16 Jun,No info,13376,15,6,5,0,0,405.0,1300
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:00 25 Jun,In-flight meal not included,10262,24,6,0,0,0,900.0,1680
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,15:30,No info,8574,27,3,2,0,0,450.0,480
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,07:40 13 Mar,In-flight meal not included,7832,9,3,5,0,0,1285.0,615
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,No info,12192,24,6,0,0,0,230.0,910
Jet Airways,Mumbai,Hyderabad,BOM ? HYD,11:50,In-flight meal not included,4050,15,6,5,0,0,620.0,90
GoAir,Banglore,Delhi,BLR ? DEL,10:40,No info,6722,12,4,4,0,0,465.0,175
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:20 10 Jun,In-flight meal not included,10844,9,6,6,0,0,1200.0,1220
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,7408,15,6,5,0,0,420.0,840
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,04:25 22 Mar,No info,14189,21,3,3,0,0,1250.0,455
SpiceJet,Kolkata,Banglore,CCU ? BLR,19:40,No check-in baggage included,3841,24,5,4,0,0,1030.0,150
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,04:40 10 May,In-flight meal not included,8586,9,5,3,0,0,845.0,875
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:15,No info,7155,27,6,3,0,0,635.0,520
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:15,In-flight meal not included,9899,12,6,2,0,0,505.0,590
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,19:50,No info,14571,6,6,3,0,0,505.0,685
IndiGo,Banglore,Delhi,BLR ? DEL,21:50,No info,4823,18,5,5,0,0,1135.0,175
Jet Airways,Banglore,Delhi,BLR ? DEL,11:20,In-flight meal not included,4544,9,5,3,0,0,500.0,180
Air India,Banglore,New Delhi,BLR ? AMD ? DEL,20:30,1 Long layover,14752,1,3,4,0,0,30.0,1200
Air India,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,13:45 10 May,No info,11542,9,5,3,0,0,565.0,1700
Jet Airways,Delhi,Cochin,DEL ? COK,13:05,In-flight meal not included,7202,21,5,1,0,0,590.0,195
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,No info,11098,9,6,6,0,0,635.0,505
Air India,Mumbai,Hyderabad,BOM ? HYD,20:45,No info,2575,27,3,2,0,0,1170.0,75
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,01:35 28 Mar,No info,6673,27,3,2,0,0,780.0,755
IndiGo,Banglore,New Delhi,BLR ? DEL,21:45,No info,14306,1,3,4,0,0,1135.0,170
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,04:25 19 May,No info,15554,18,5,5,0,0,1310.0,395
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,14:25 16 May,In-flight meal not included,9314,15,5,2,0,0,575.0,1730
Jet Airways,Mumbai,Hyderabad,BOM ? HYD,08:00,In-flight meal not included,4995,9,3,5,0,0,390.0,90
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,07:40 19 Mar,In-flight meal not included,7832,21,3,3,0,0,700.0,1200
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:15 22 May,In-flight meal not included,8586,21,5,1,0,0,505.0,1430
Air India,Delhi,Cochin,DEL ? COK,08:00,No info,6094,27,4,5,0,0,310.0,170
Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,19:00,No info,13292,24,6,0,0,0,330.0,810
Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,04:25 10 Jun,In-flight meal not included,10368,9,6,6,0,0,330.0,1375
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,9718,27,5,0,0,0,600.0,660
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,07:40 19 Mar,In-flight meal not included,7412,21,3,3,0,0,535.0,1365
Air India,Delhi,Cochin,DEL ? GOI ? BOM ? COK,19:15 07 Jun,No info,10441,6,6,3,0,0,1320.0,1275
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,01:35 04 Mar,No info,14871,3,3,6,0,0,645.0,890
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:00,No info,15554,18,5,5,0,0,480.0,660
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,19:10,No info,36235,1,3,4,0,0,845.0,305
IndiGo,Mumbai,Hyderabad,BOM ? HYD,18:25,No info,3175,24,3,6,0,0,1015.0,90
SpiceJet,Chennai,Kolkata,MAA ? CCU,20:05,No info,3597,24,5,4,0,0,1065.0,140
SpiceJet,Mumbai,Hyderabad,BOM ? HYD,14:45,No check-in baggage included,1965,27,6,3,0,0,795.0,90
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,No info,12717,24,6,0,0,0,600.0,540
IndiGo,Delhi,Cochin,DEL ? COK,17:40,No info,6015,3,6,0,0,0,865.0,195
Air Asia,Banglore,New Delhi,BLR ? DEL,02:10 10 Mar,No info,5615,9,3,5,0,0,1405.0,165
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,01:35 28 Mar,No info,7845,27,3,2,0,0,1140.0,395
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,22:35 10 Jun,In-flight meal not included,10844,9,6,6,0,0,1270.0,1525
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,05:05 13 Mar,No info,27210,15,3,4,0,0,1285.0,460
IndiGo,Kolkata,Banglore,CCU ? BLR,16:55,No info,4174,6,4,5,0,0,865.0,150
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,6883,21,3,3,0,0,480.0,780
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,6883,21,3,3,0,0,540.0,720
Jet Airways,Kolkata,Banglore,CCU ? GAU ? BLR,17:35,No info,8355,21,5,1,0,0,620.0,435
SpiceJet,Banglore,New Delhi,BLR ? DEL,23:20,No check-in baggage included,5469,24,3,6,0,0,1230.0,170
Jet Airways,Banglore,Delhi,BLR ? DEL,08:45,In-flight meal not included,6478,27,6,3,0,0,360.0,165
Vistara,Banglore,New Delhi,BLR ? DEL,22:20,No info,11913,3,3,6,0,0,1180.0,160
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,01:30 22 May,No info,7006,21,5,1,0,0,1115.0,415
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,22:35,No info,12681,1,4,0,0,0,990.0,365
Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:00 22 May,No info,15129,21,5,1,0,0,1385.0,1195
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,13587,15,6,5,0,0,840.0,420
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:00 02 Jun,No info,14714,1,6,5,0,0,1155.0,1425
IndiGo,Banglore,New Delhi,BLR ? HYD ? DEL,12:20,No info,6220,3,3,6,0,0,450.0,290
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,12:35,In-flight meal not included,10262,6,6,3,0,0,425.0,330
Air India,Kolkata,Banglore,CCU ? BOM ? BLR,18:30,No info,8576,12,5,6,0,0,565.0,545
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:40 25 Mar,In-flight meal not included,10031,24,3,6,0,0,1185.0,1495
Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:00 25 Jun,No info,12819,24,6,0,0,0,1150.0,1430
GoAir,Delhi,Cochin,DEL ? AMD ? COK,13:35,No info,5052,15,4,0,0,0,445.0,370
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:15 02 Mar,No info,22270,1,3,4,0,0,480.0,1455
Vistara,Banglore,Delhi,BLR ? DEL,09:40,No info,5613,27,4,5,0,0,420.0,160
SpiceJet,Kolkata,Banglore,CCU ? BLR,11:25,No info,3873,1,4,0,0,0,540.0,145
IndiGo,Delhi,Cochin,DEL ? COK,08:50,No info,6015,15,5,2,0,0,335.0,195
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,12:00,In-flight meal not included,10844,9,6,6,0,0,390.0,330
SpiceJet,Mumbai,Hyderabad,BOM ? HYD,14:45,No info,2227,12,5,6,0,0,795.0,90
Jet Airways,Banglore,Delhi,BLR ? DEL,22:50,No info,7229,1,4,0,0,0,1190.0,180
Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:00,In-flight meal not included,10368,6,6,3,0,0,330.0,810
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,04:25 22 May,In-flight meal not included,12898,21,5,1,0,0,1050.0,655
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,No info,12192,12,6,2,0,0,420.0,720
Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,23:35,No info,12121,9,5,3,0,0,575.0,840
Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,07:40 28 May,No info,16163,27,5,0,0,0,410.0,1490
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,18:25,No info,12284,18,3,0,0,0,345.0,760
IndiGo,Banglore,Delhi,BLR ? DEL,22:15,No info,5780,21,6,4,0,0,1170.0,165
Jet Airways,Mumbai,Hyderabad,BOM ? HYD,11:50,In-flight meal not included,4995,9,5,3,0,0,620.0,90
IndiGo,Delhi,Cochin,DEL ? BLR ? COK,10:05,No info,6496,9,6,6,0,0,310.0,295
Air India,Delhi,Cochin,DEL ? LKO ? BOM ? COK,19:15 13 Jun,No info,12488,12,6,2,0,0,740.0,1855
IndiGo,Banglore,Delhi,BLR ? DEL,10:05,No info,4823,15,5,2,0,0,430.0,175
SpiceJet,Mumbai,Hyderabad,BOM ? HYD,07:15,No check-in baggage included,2647,18,6,1,0,0,345.0,90
IndiGo,Banglore,New Delhi,BLR ? DEL,15:50,No info,12649,3,3,6,0,0,780.0,170
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:15,No info,8266,12,6,2,0,0,700.0,455
Vistara,Delhi,Cochin,DEL ? COK,09:10,No info,6216,15,5,2,0,0,360.0,190
IndiGo,Banglore,Delhi,BLR ? DEL,04:15,No info,4423,1,4,0,0,0,90.0,165
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:15 07 Mar,No info,17996,6,3,2,0,0,480.0,1455
SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,13:15,No check-in baggage included,5726,15,4,0,0,0,525.0,270
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,15:30,No info,15147,6,3,2,0,0,360.0,570
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:00 19 May,No info,15554,18,5,5,0,0,1255.0,1325
Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,04:25 26 Jun,No info,12819,24,6,0,0,0,1385.0,1760
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,01:30 28 Jun,No info,7198,27,6,3,0,0,1080.0,450
IndiGo,Delhi,Cochin,DEL ? BOM ? COK,21:00,No info,5073,3,4,2,0,0,960.0,300
IndiGo,Banglore,Delhi,BLR ? DEL,00:15 28 Jun,No info,3943,27,6,3,0,0,1275.0,180
Jet Airways,Mumbai,Hyderabad,BOM ? HYD,08:35,In-flight meal not included,3205,27,3,2,0,0,430.0,85
SpiceJet,Banglore,Delhi,BLR ? DEL,08:35,No check-in baggage included,3257,12,5,6,0,0,355.0,160
IndiGo,Kolkata,Banglore,CCU ? BLR,00:50 04 Jun,No info,4804,3,6,0,0,0,1335.0,155
IndiGo,Banglore,New Delhi,BLR ? NAG ? DEL,21:35,No info,10231,9,3,5,0,0,1010.0,285
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,04:25 22 May,In-flight meal not included,12898,21,5,1,0,0,1255.0,450
IndiGo,Mumbai,Hyderabad,BOM ? HYD,22:45,No info,2227,21,3,3,0,0,1280.0,85
Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,11:10 02 Apr,No info,9258,1,4,0,0,0,720.0,1390
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,09:20 25 May,In-flight meal not included,9663,24,5,4,0,0,990.0,1010
Jet Airways,Mumbai,Hyderabad,BOM ? HYD,08:30,No info,8040,21,5,1,0,0,425.0,85
GoAir,Banglore,Delhi,BLR ? DEL,23:40,No info,3419,6,6,3,0,0,1255.0,165
Jet Airways,Banglore,Delhi,BLR ? DEL,10:10,No info,8016,1,6,5,0,0,430.0,180
Jet Airways,Banglore,Delhi,BLR ? DEL,20:45,No info,7229,6,4,5,0,0,1065.0,180
GoAir,Delhi,Cochin,DEL ? BOM ? COK,19:35,No info,4959,6,6,3,0,0,635.0,540
Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,11:10 10 Jun,No info,10151,9,6,6,0,0,720.0,1390
