Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date_of_Journey_day,Date_of_Journey_month,Date_of_Journey_weekday,Date_of_Journey_hour,Date_of_Journey_minute,Route_stops,Dep_Time_minutes,Arrival_Time_minutes,Duration_minutes
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10368,6,6,3,0,0,3.0,330.0,265,1375
IndiGo,Delhi,Cochin,1 stop,No info,6755,9,3,5,0,0,2.0,465.0,820,355
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,3502,15,5,2,0,0,1.0,915.0,1090,175
Air India,Banglore,Delhi,non-stop,No info,6961,24,6,0,0,0,1.0,600.0,765,165
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4544,9,4,1,0,0,1.0,950.0,1125,175
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841,18,5,5,0,0,1.0,895.0,1045,150
Jet Airways,Mumbai,Hyderabad,2 stops,No info,24115,6,3,2,0,0,3.0,860.0,1010,1590
Vistara,Kolkata,Banglore,1 stop,No info,9502,24,5,4,0,0,2.0,430.0,545,1555
Air India,Mumbai,Hyderabad,non-stop,No info,3100,1,4,0,0,0,1.0,380.0,460,80
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,4319,15,4,0,0,0,1.0,355.0,515,160
IndiGo,Mumbai,Hyderabad,non-stop,No info,2227,1,5,2,0,0,1.0,1205.0,1300,95
SpiceJet,Kolkata,Banglore,non-stop,No info,5831,24,3,6,0,0,1.0,1340.0,40,140
IndiGo,Kolkata,Banglore,non-stop,No info,4804,9,6,6,0,0,1.0,1285.0,5,160
IndiGo,Delhi,Cochin,1 stop,No info,5458,6,6,3,0,0,2.0,455.0,730,275
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229,9,6,6,0,0,1.0,1135.0,1320,185
Jet Airways,Kolkata,Banglore,1 stop,No info,14571,6,6,3,0,0,2.0,1135.0,605,910
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,3919,9,6,6,0,0,1.0,1270.0,5,175
Multiple carriers,Delhi,Cochin,1 stop,No info,6916,9,3,5,0,0,2.0,425.0,970,545
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,6960,27,3,2,0,0,2.0,780.0,265,925
Jet Airways,Banglore,New Delhi,1 stop,No info,16757,6,3,2,0,0,2.0,585.0,865,280
IndiGo,Delhi,Cochin,1 stop,No info,14871,6,3,2,0,0,2.0,960.0,95,575
IndiGo,Delhi,Cochin,1 stop,No info,5054,12,6,2,0,0,2.0,455.0,730,275
Air India,Delhi,Cochin,2 stops,No info,12488,3,6,0,0,0,3.0,740.0,1155,1855
IndiGo,Banglore,Delhi,non-stop,No info,4823,15,4,0,0,0,1.0,1105.0,1280,175
Air India,Delhi,Cochin,2 stops,No info,14483,9,3,5,0,0,3.0,355.0,1155,2240
Air India,Delhi,Cochin,2 stops,No info,11989,24,6,0,0,0,3.0,1035.0,1155,1560
Jet Airways,Delhi,Cochin,1 stop,No info,16079,21,5,1,0,0,2.0,1370.0,1140,1210
Jet Airways,Kolkata,Banglore,1 stop,No info,13067,6,5,0,0,0,2.0,575.0,655,1520
IndiGo,Delhi,Cochin,1 stop,No info,6818,12,6,2,0,0,2.0,305.0,970,665
Jet Airways,Kolkata,Banglore,1 stop,No info,13941,12,5,6,0,0,2.0,505.0,495,1430
Multiple carriers,Delhi,Cochin,1 stop,No info,12927,24,6,0,0,0,2.0,540.0,1140,600
IndiGo,Kolkata,Banglore,non-stop,No info,4804,15,5,2,0,0,1.0,1335.0,50,155
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,5406,1,4,0,0,0,2.0,960.0,755,1235
IndiGo,Delhi,Cochin,1 stop,No info,7318,21,3,3,0,0,2.0,645.0,95,890
IndiGo,Chennai,Kolkata,non-stop,No info,3384,21,3,3,0,0,1.0,475.0,615,140
Air Asia,Delhi,Cochin,1 stop,No info,11410,3,6,0,0,0,2.0,1245.0,395,590
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,9134,15,3,4,0,0,2.0,345.0,795,450
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832,21,3,3,0,0,2.0,845.0,1280,435
Jet Airways,Banglore,New Delhi,1 stop,No info,14815,6,3,2,0,0,2.0,535.0,460,1365
IndiGo,Banglore,Delhi,non-stop,No info,4591,3,6,0,0,0,1.0,1410.0,140,170
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,9,5,3,0,0,2.0,1370.0,1140,1210
Air Asia,Banglore,New Delhi,non-stop,No info,4284,9,3,5,0,0,1.0,350.0,520,170
Jet Airways,Kolkata,Banglore,1 stop,No info,13941,18,5,5,0,0,2.0,345.0,280,1375
Jet Airways,Delhi,Cochin,1 stop,No info,16289,9,3,5,0,0,2.0,1045.0,1130,1525
IndiGo,Delhi,Cochin,1 stop,No info,9165,24,6,0,0,0,2.0,1410.0,275,305
Jet Airways,Banglore,Delhi,non-stop,No info,8016,21,6,4,0,0,1.0,360.0,525,165
Air Asia,Kolkata,Banglore,1 stop,No info,5192,1,4,0,0,0,2.0,1360.0,640,720
Jet Airways,Kolkata,Banglore,1 stop,No info,14939,9,6,6,0,0,2.0,1270.0,495,665
Jet Airways,Banglore,New Delhi,1 stop,No info,25735,1,3,4,0,0,2.0,700.0,570,1310
Multiple carriers,Delhi,Cochin,1 stop,No info,14502,3,6,0,0,0,2.0,600.0,1140,540
Jet Airways,Banglore,New Delhi,1 stop,No info,13817,12,3,1,0,0,2.0,1375.0,745,810
Jet Airways,Kolkata,Banglore,1 stop,No info,14151,24,5,4,0,0,2.0,575.0,1080,505
Multiple carriers,Delhi,Cochin,1 stop,No info,15077,6,3,2,0,0,2.0,645.0,1155,510
Multiple carriers,Delhi,Cochin,1 stop,No info,12192,12,6,2,0,0,2.0,540.0,1140,600
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,1965,21,5,1,0,0,1.0,795.0,885,90
IndiGo,Chennai,Kolkata,non-stop,No info,3850,18,5,5,0,0,1.0,475.0,615,140
IndiGo,Mumbai,Hyderabad,non-stop,No info,3175,1,6,5,0,0,1.0,1015.0,1105,90
Jet Airways,Banglore,Delhi,non-stop,No info,7229,21,5,1,0,0,1.0,1135.0,1320,185
Jet Airways,Delhi,Cochin,1 stop,No info,16079,27,5,0,0,0,2.0,1155.0,1140,1425
IndiGo,Mumbai,Hyderabad,non-stop,No info,4392,27,3,2,0,0,1.0,550.0,640,90
Jet Airways,Banglore,New Delhi,1 stop,No info,54826,18,3,0,0,0,2.0,1120.0,45,365
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10368,15,6,5,0,0,3.0,580.0,1140,560
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,27,5,0,0,0,2.0,1370.0,1140,1210
Air India,Kolkata,Banglore,2 stops,No info,14960,1,5,2,0,0,3.0,1005.0,750,1185
IndiGo,Delhi,Cochin,1 stop,No info,6442,27,5,0,0,0,2.0,515.0,1350,835
SpiceJet,Chennai,Kolkata,non-stop,No info,3597,21,5,1,0,0,1.0,500.0,635,135
Jet Airways,Delhi,Cochin,2 stops,No info,18804,6,6,3,0,0,3.0,700.0,1140,440
Vistara,Delhi,Cochin,non-stop,No info,6111,15,3,4,0,0,1.0,360.0,550,190
IndiGo,Delhi,Cochin,non-stop,No info,6015,9,6,6,0,0,1.0,1265.0,20,195
Air India,Banglore,Delhi,non-stop,No info,6121,18,5,5,0,0,1.0,800.0,970,170
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,6287,24,5,4,0,0,2.0,620.0,1055,435
Jet Airways,Banglore,Delhi,non-stop,No info,7229,9,5,3,0,0,1.0,915.0,1090,175
IndiGo,Delhi,Cochin,1 stop,No info,6442,12,6,2,0,0,2.0,515.0,970,455
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4544,27,4,5,0,0,1.0,915.0,1090,175
Air India,Kolkata,Banglore,2 stops,No info,11542,12,6,2,0,0,3.0,565.0,825,1700
Jet Airways,Delhi,Cochin,1 stop,No info,16079,21,5,1,0,0,2.0,1185.0,265,520
Multiple carriers,Delhi,Cochin,1 stop,No info,6076,27,3,2,0,0,2.0,425.0,970,545
Air India,Kolkata,Banglore,2 stops,No info,10408,1,4,0,0,0,3.0,600.0,80,920
Air India,Delhi,Cochin,2 stops,No info,8446,27,3,2,0,0,3.0,355.0,1155,2240
GoAir,Banglore,New Delhi,non-stop,No info,13663,1,3,4,0,0,1.0,465.0,640,175
Air India,Delhi,Cochin,1 stop,No info,10671,15,5,2,0,0,2.0,1230.0,495,705
Air Asia,Banglore,Delhi,non-stop,No info,3383,18,6,1,0,0,1.0,1435.0,165,170
Multiple carriers,Delhi,Cochin,1 stop,No info,9021,9,5,3,0,0,2.0,620.0,90,910
Multiple carriers,Delhi,Cochin,1 stop,No info,14533,18,5,5,0,0,2.0,540.0,1155,615
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11992,6,6,3,0,0,3.0,705.0,265,1000
IndiGo,Chennai,Kolkata,non-stop,No info,3597,12,5,6,0,0,1.0,795.0,935,140
IndiGo,Banglore,Delhi,non-stop,No info,4077,9,6,6,0,0,1.0,90.0,255,165
Multiple carriers,Delhi,Cochin,1 stop,No info,9646,12,6,2,0,0,2.0,425.0,970,545
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,1,4,0,0,0,1.0,1340.0,40,140
Jet Airways,Delhi,Cochin,2 stops,No info,15129,9,5,3,0,0,3.0,1150.0,1140,1430
IndiGo,Delhi,Cochin,1 stop,No info,6104,9,6,6,0,0,2.0,1050.0,90,480
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,16022,6,3,2,0,0,3.0,1150.0,265,1995
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,10562,9,3,5,0,0,2.0,585.0,30,885
Air India,Delhi,Cochin,1 stop,No info,10945,9,3,5,0,0,2.0,365.0,565,1640
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,27,5,0,0,0,1.0,540.0,685,145
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,1840,27,3,2,0,0,1.0,175.0,265,90
IndiGo,Delhi,Cochin,1 stop,No info,9585,3,3,6,0,0,2.0,295.0,720,425
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,3210,18,5,5,0,0,1.0,1175.0,1265,90
IndiGo,Delhi,Cochin,1 stop,No info,6147,9,5,3,0,0,2.0,910.0,1200,290
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7341,9,5,3,0,0,2.0,1020.0,1415,395
Air India,Delhi,Cochin,1 stop,No info,8372,21,5,1,0,0,2.0,540.0,1155,615
Multiple carriers,Delhi,Cochin,1 stop,No info,10877,27,6,3,0,0,2.0,450.0,1140,690
Air India,Delhi,Cochin,2 stops,No info,10441,9,5,3,0,0,3.0,1320.0,1155,1275
IndiGo,Delhi,Cochin,1 stop,No info,13611,6,3,2,0,0,2.0,285.0,1260,975
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,9,3,5,0,0,2.0,535.0,645,1550
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,5963,27,3,2,0,0,2.0,1155.0,1185,1470
IndiGo,Chennai,Kolkata,non-stop,No info,3597,24,5,4,0,0,1.0,795.0,935,140
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8529,12,6,2,0,0,2.0,1135.0,605,910
Multiple carriers,Delhi,Cochin,1 stop,No info,10678,12,6,2,0,0,2.0,295.0,1140,845
IndiGo,Delhi,Cochin,1 stop,No info,8285,27,3,2,0,0,2.0,505.0,1260,755
Jet Airways,Delhi,Cochin,1 stop,No info,18371,12,6,2,0,0,2.0,135.0,755,620
Jet Airways,Kolkata,Banglore,1 stop,No info,12692,6,6,3,0,0,2.0,1225.0,585,800
IndiGo,Banglore,Delhi,non-stop,No info,4423,24,4,2,0,0,1.0,365.0,530,165
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229,9,6,6,0,0,1.0,1190.0,1370,180
IndiGo,Banglore,New Delhi,non-stop,No info,6144,3,3,6,0,0,1.0,1410.0,140,170
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10919,1,6,5,0,0,3.0,405.0,265,1300
IndiGo,Kolkata,Banglore,non-stop,No info,4148,27,3,2,0,0,1.0,1285.0,5,160
SpiceJet,Banglore,New Delhi,non-stop,No check-in baggage included,3873,24,3,6,0,0,1.0,1230.0,1400,170
Jet Airways,Delhi,Cochin,2 stops,No info,11702,21,3,3,0,0,3.0,580.0,1130,550
IndiGo,Delhi,Cochin,1 stop,No info,14871,6,3,2,0,0,2.0,1030.0,95,505
Air India,Banglore,New Delhi,2 stops,No info,11234,18,3,0,0,0,3.0,405.0,670,1705
IndiGo,Delhi,Cochin,1 stop,No info,6938,6,6,3,0,0,2.0,860.0,1350,490
IndiGo,Delhi,Cochin,1 stop,No info,6093,12,6,2,0,0,2.0,510.0,1260,750
IndiGo,Banglore,Delhi,non-stop,No info,3943,15,5,2,0,0,1.0,610.0,780,170
Jet Airways,Mumbai,Hyderabad,non-stop,No info,8040,6,6,3,0,0,1.0,620.0,710,90
Jet Airways,Delhi,Cochin,2 stops,No info,15129,9,5,3,0,0,3.0,1385.0,755,810
SpiceJet,Chennai,Kolkata,non-stop,No info,3597,9,5,3,0,0,1.0,1065.0,1205,140
Vistara,Kolkata,Banglore,1 stop,No info,8610,6,5,0,0,0,2.0,430.0,1130,700
Jet Airways,Kolkata,Banglore,1 stop,No info,13067,1,5,2,0,0,2.0,1020.0,1415,395
SpiceJet,Banglore,Delhi,non-stop,No info,4991,9,5,3,0,0,1.0,570.0,740,170
SpiceJet,Kolkata,Banglore,1 stop,No info,4649,1,4,0,0,0,2.0,905.0,1220,315
SpiceJet,Chennai,Kolkata,non-stop,No info,3597,18,5,5,0,0,1.0,500.0,635,135
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,21,5,1,0,0,2.0,480.0,1140,660
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,9296,27,3,2,0,0,3.0,380.0,1185,2245
IndiGo,Banglore,New Delhi,non-stop,No info,8855,3,3,6,0,0,1.0,1015.0,1185,170
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,6,3,0,0,2.0,1310.0,1140,1270
IndiGo,Banglore,Delhi,non-stop,No info,3943,24,6,0,0,0,1.0,365.0,530,165
Multiple carriers,Delhi,Cochin,1 stop,No info,9001,3,6,0,0,0,2.0,770.0,1155,385
Multiple carriers,Delhi,Cochin,1 stop,No info,7670,18,5,5,0,0,2.0,620.0,90,910
Multiple carriers,Delhi,Cochin,1 stop,No info,7530,3,6,0,0,0,2.0,1065.0,90,465
IndiGo,Kolkata,Banglore,1 stop,No info,8443,1,5,2,0,0,2.0,560.0,855,295
SpiceJet,Delhi,Cochin,1 stop,No info,5351,1,4,0,0,0,2.0,365.0,680,315
Vistara,Delhi,Cochin,non-stop,No info,6688,21,3,3,0,0,1.0,360.0,550,190
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,12,3,1,0,0,2.0,1235.0,1150,1355
Air India,Banglore,New Delhi,2 stops,No info,7664,15,3,4,0,0,3.0,350.0,725,1815
IndiGo,Kolkata,Banglore,1 stop,No info,4775,15,4,0,0,0,2.0,915.0,1230,315
GoAir,Kolkata,Banglore,non-stop,No info,3514,27,6,3,0,0,1.0,920.0,1075,155
Jet Airways,Delhi,Cochin,2 stops,No info,13376,24,6,0,0,0,3.0,405.0,265,1300
Jet Airways,Delhi,Cochin,2 stops,No info,14300,12,6,2,0,0,3.0,490.0,755,1705
Air India,Delhi,Cochin,1 stop,No info,7480,27,6,3,0,0,2.0,1240.0,565,765
IndiGo,Mumbai,Hyderabad,non-stop,No info,2227,12,5,6,0,0,1.0,1280.0,1370,90
Air Asia,Delhi,Cochin,1 stop,No info,7452,18,5,5,0,0,2.0,475.0,1345,870
Air Asia,Kolkata,Banglore,non-stop,No info,4409,24,5,4,0,0,1.0,620.0,775,155
Air India,Kolkata,Banglore,2 stops,No info,4647,3,4,2,0,0,3.0,550.0,665,1555
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3332,21,3,3,0,0,1.0,570.0,725,155
Air India,Delhi,Cochin,1 stop,No info,6902,27,3,2,0,0,2.0,600.0,1155,555
Air Asia,Kolkata,Banglore,1 stop,No info,6857,6,6,3,0,0,2.0,1195.0,1410,215
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,9,5,3,0,0,2.0,1155.0,265,550
Multiple carriers,Delhi,Cochin,1 stop,No info,11789,15,6,5,0,0,2.0,700.0,1140,440
Air India,Delhi,Cochin,2 stops,No info,13039,9,5,3,0,0,3.0,1035.0,460,865
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,12,3,1,0,0,2.0,1375.0,685,750
Vistara,Kolkata,Banglore,1 stop,No info,9345,18,5,5,0,0,2.0,1220.0,1405,1625
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,1965,24,6,0,0,0,1.0,1365.0,15,90
IndiGo,Delhi,Cochin,1 stop,No info,6093,3,6,0,0,0,2.0,450.0,1260,810
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,11841,9,6,6,0,0,2.0,1135.0,495,800
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,9,5,3,0,0,2.0,1270.0,605,775
Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,6,3,0,0,2.0,1155.0,1140,1425
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8529,12,6,2,0,0,2.0,1135.0,1355,1660
IndiGo,Delhi,Cochin,1 stop,No info,5073,6,4,5,0,0,2.0,455.0,730,275
Jet Airways,Banglore,Delhi,non-stop,No info,7229,24,4,2,0,0,1.0,430.0,610,180
Air India,Delhi,Cochin,1 stop,No info,9194,6,6,3,0,0,2.0,600.0,1155,555
Multiple carriers,Delhi,Cochin,1 stop,No info,11789,12,6,2,0,0,2.0,700.0,1140,440
SpiceJet,Mumbai,Hyderabad,non-stop,No info,2017,12,6,2,0,0,1.0,795.0,885,90
Air India,Kolkata,Banglore,2 stops,No info,15894,6,6,3,0,0,3.0,870.0,750,1320
IndiGo,Banglore,Delhi,non-stop,No info,3419,9,5,3,0,0,1.0,90.0,255,165
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10368,9,6,6,0,0,3.0,330.0,265,1375
IndiGo,Delhi,Cochin,1 stop,No info,6027,24,4,2,0,0,2.0,910.0,1200,290
Air India,Delhi,Cochin,1 stop,No info,7480,18,5,5,0,0,2.0,1240.0,565,765
SpiceJet,Kolkata,Banglore,1 stop,No info,7189,12,6,2,0,0,2.0,515.0,1035,520
Air India,Banglore,New Delhi,non-stop,No info,7276,15,3,4,0,0,1.0,600.0,765,165
Jet Airways,Delhi,Cochin,1 stop,No info,15764,6,3,2,0,0,2.0,690.0,265,1015
Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,6,3,0,0,2.0,1155.0,265,550
Multiple carriers,Delhi,Cochin,1 stop,No info,7888,21,5,1,0,0,2.0,1020.0,90,510
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,6,3,0,0,2.0,480.0,265,1225
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,15318,18,5,5,0,0,3.0,1200.0,265,505
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,5608,1,5,2,0,0,2.0,620.0,1055,435
Jet Airways,Kolkata,Banglore,1 stop,No info,12681,1,4,0,0,0,2.0,505.0,1095,590
Air India,Delhi,Cochin,2 stops,No info,9417,6,3,2,0,0,3.0,1035.0,565,970
Multiple carriers,Delhi,Cochin,1 stop,No info,17057,3,3,6,0,0,2.0,425.0,1260,835
Multiple carriers,Delhi,Cochin,1 stop,No info,12537,27,3,2,0,0,2.0,780.0,1260,480
Air India,Delhi,Cochin,2 stops,No info,10651,27,5,0,0,0,3.0,1320.0,1155,1275
Vistara,Delhi,Cochin,non-stop,No info,6741,1,6,5,0,0,1.0,360.0,550,190
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,24,5,4,0,0,2.0,1200.0,1355,1595
Air India,Delhi,Cochin,2 stops,No info,13381,27,5,0,0,0,3.0,865.0,1155,1730
IndiGo,Banglore,Delhi,non-stop,No info,4423,6,4,5,0,0,1.0,365.0,530,165
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,27,5,0,0,0,1.0,1175.0,1265,90
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,12719,21,5,1,0,0,3.0,575.0,755,1620
IndiGo,Delhi,Cochin,1 stop,No info,5054,1,6,5,0,0,2.0,455.0,730,275
Air India,Delhi,Cochin,1 stop,No info,7480,24,5,4,0,0,2.0,585.0,565,1420
Air India,Banglore,Delhi,non-stop,No info,6961,3,6,0,0,0,1.0,1020.0,1185,165
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841,24,4,2,0,0,1.0,1030.0,1180,150
IndiGo,Banglore,Delhi,non-stop,No info,3943,3,6,0,0,0,1.0,1275.0,15,180
Jet Airways,Banglore,Delhi,non-stop,No info,7229,3,5,4,0,0,1.0,500.0,680,180
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,4319,15,5,2,0,0,1.0,570.0,740,170
IndiGo,Banglore,Delhi,non-stop,No info,4423,24,4,2,0,0,1.0,780.0,950,170
Jet Airways,Delhi,Cochin,1 stop,No info,16079,21,5,1,0,0,2.0,1370.0,265,335
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7754,21,6,4,0,0,1.0,1190.0,1370,180
Air India,Delhi,Cochin,2 stops,No info,10467,1,6,5,0,0,3.0,795.0,565,1210
Jet Airways,Delhi,Cochin,1 stop,No info,14714,3,6,0,0,0,2.0,1050.0,755,1145
Air India,Kolkata,Banglore,1 stop,No info,7452,1,5,2,0,0,2.0,1005.0,1265,1700
Air India,Delhi,Cochin,2 stops,No info,13276,21,5,1,0,0,3.0,800.0,1155,1795
Air India,Banglore,New Delhi,2 stops,No info,31783,1,3,4,0,0,3.0,530.0,635,1545
Air India,Chennai,Kolkata,non-stop,No info,4667,1,5,2,0,0,1.0,700.0,835,135
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229,15,6,5,0,0,1.0,915.0,1090,175
Jet Airways,Delhi,Cochin,2 stops,No info,14237,15,6,5,0,0,3.0,1105.0,755,1090
Multiple carriers,Delhi,Cochin,1 stop,No info,8266,15,5,2,0,0,2.0,620.0,1155,535
Jet Airways,Delhi,Cochin,2 stops,No info,13882,24,6,0,0,0,3.0,565.0,265,1140
IndiGo,Banglore,Delhi,non-stop,No info,4823,6,5,0,0,0,1.0,1200.0,1370,170
Air Asia,Banglore,Delhi,non-stop,No info,4483,24,5,4,0,0,1.0,1435.0,165,170
Air India,Banglore,Delhi,non-stop,No info,6961,12,6,2,0,0,1.0,370.0,535,165
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,12,5,6,0,0,2.0,1135.0,605,910
Jet Airways,Delhi,Cochin,2 stops,No info,16704,18,5,5,0,0,3.0,1385.0,265,1760
IndiGo,Mumbai,Hyderabad,non-stop,No info,4049,12,5,6,0,0,1.0,550.0,640,90
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3807,24,3,6,0,0,1.0,500.0,635,135
IndiGo,Delhi,Cochin,1 stop,No info,6442,9,6,6,0,0,2.0,410.0,1350,940
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832,15,3,4,0,0,2.0,420.0,460,1480
IndiGo,Delhi,Cochin,1 stop,No info,6442,24,6,0,0,0,2.0,515.0,1350,835
IndiGo,Banglore,Delhi,non-stop,No info,4823,21,4,6,0,0,1.0,1200.0,1370,170
Jet Airways,Banglore,New Delhi,1 stop,No info,13555,6,3,2,0,0,2.0,345.0,305,1400
GoAir,Delhi,Cochin,1 stop,No info,5135,6,4,5,0,0,2.0,635.0,1175,540
Air Asia,Banglore,Delhi,non-stop,No info,3383,15,5,2,0,0,1.0,1435.0,165,170
GoAir,Delhi,Cochin,1 stop,No info,5842,15,6,5,0,0,2.0,445.0,815,370
Jet Airways,Delhi,Cochin,2 stops,No info,16704,18,5,5,0,0,3.0,805.0,265,900
Air India,Kolkata,Banglore,1 stop,No info,8366,1,5,2,0,0,2.0,1010.0,475,905
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,1965,9,5,3,0,0,1.0,345.0,435,90
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,6,3,0,0,1.0,1030.0,1180,150
Jet Airways,Banglore,New Delhi,1 stop,No info,27992,1,3,4,0,0,2.0,480.0,1220,740
Multiple carriers,Delhi,Cochin,1 stop,No info,10678,6,6,3,0,0,2.0,295.0,755,460
Air India,Banglore,New Delhi,1 stop,No info,6824,21,3,3,0,0,2.0,530.0,1395,865
Air India,Delhi,Cochin,2 stops,No info,9443,12,6,2,0,0,3.0,300.0,1155,2295
Multiple carriers,Delhi,Cochin,1 stop,No info,13378,21,3,3,0,0,2.0,425.0,1155,730
IndiGo,Banglore,Delhi,non-stop,No info,3943,1,5,2,0,0,1.0,240.0,410,170
IndiGo,Delhi,Cochin,1 stop,No info,7191,18,5,5,0,0,2.0,685.0,1260,575
SpiceJet,Banglore,Delhi,non-stop,No info,3625,27,6,3,0,0,1.0,355.0,515,160
GoAir,Delhi,Cochin,1 stop,No info,6841,27,5,0,0,0,2.0,445.0,815,370
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,11134,24,3,6,0,0,2.0,1015.0,1405,390
Jet Airways,Kolkata,Banglore,1 stop,No info,14571,6,6,3,0,0,2.0,1135.0,1245,1550
Air India,Banglore,New Delhi,3 stops,No info,12346,1,3,4,0,0,4.0,350.0,735,1825
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4544,21,4,6,0,0,1.0,1065.0,1245,180
Jet Airways,Delhi,Cochin,2 stops,No info,13376,9,6,6,0,0,3.0,875.0,265,830
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,12,3,1,0,0,2.0,1135.0,745,1050
SpiceJet,Kolkata,Banglore,non-stop,No info,5515,3,3,6,0,0,1.0,540.0,690,150
IndiGo,Kolkata,Banglore,non-stop,No info,4804,27,6,3,0,0,1.0,280.0,435,155
IndiGo,Chennai,Kolkata,non-stop,No info,3597,12,6,2,0,0,1.0,795.0,935,140
Multiple carriers,Delhi,Cochin,1 stop,No info,15353,6,3,2,0,0,2.0,360.0,1155,795
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9899,12,6,2,0,0,2.0,390.0,980,590
IndiGo,Banglore,New Delhi,non-stop,No info,7303,24,3,6,0,0,1.0,1105.0,1280,175
Jet Airways,Banglore,New Delhi,1 stop,No info,13817,12,3,1,0,0,2.0,535.0,1280,745
Jet Airways,Delhi,Cochin,2 stops,No info,19329,6,3,2,0,0,3.0,1150.0,1185,1475
Jet Airways,Delhi,Cochin,1 stop,No info,16289,12,6,2,0,0,2.0,425.0,755,330
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,15,5,2,0,0,2.0,1135.0,605,910
Air India,Delhi,Cochin,2 stops,No info,10975,3,6,0,0,0,3.0,585.0,565,1420
Air Asia,Kolkata,Banglore,non-stop,No info,4384,18,3,0,0,0,1.0,620.0,775,155
Jet Airways,Delhi,Cochin,1 stop,No info,14714,12,6,2,0,0,2.0,540.0,1140,600
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10919,12,6,2,0,0,3.0,875.0,265,830
Jet Airways,Kolkata,Banglore,1 stop,No info,14388,21,5,1,0,0,2.0,845.0,280,875
